model	condition	reaction_id	minimum	maximum	fraction_of_optimum
baseline_v1.13	baseline_unchanged	bio1	9.49095868767129	10.545509652968226	0.9
baseline_v1.13	baseline_unchanged	EX_cpd11640_e0	0.0	63.85208928571861	0.9
baseline_v1.13	baseline_unchanged	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	baseline_unchanged	rxn05759_c0	0.0	63.85208928572076	0.9
baseline_v1.13	baseline_unchanged	rxn00018_c0	0.0	92.4076651818772	0.9
baseline_v1.13	baseline_unchanged	rxn01111_c0	0.0	92.40766518188089	0.9
baseline_v1.13	acetate	bio1	6.311175586331071	7.012417318145641	0.9
baseline_v1.13	acetate	EX_cpd11640_e0	0.0	17.896034090909144	0.9
baseline_v1.13	acetate	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	acetate	rxn05759_c0	0.0	17.89603409091176	0.9
baseline_v1.13	acetate	rxn00018_c0	41.04277766467069	186.47247107018416	0.9
baseline_v1.13	acetate	rxn01111_c0	41.04277766467126	186.47247107018885	0.9
baseline_v1.13	succinate	bio1	6.39441885142679	7.104909834918615	0.9
baseline_v1.13	succinate	EX_cpd11640_e0	0.0	18.132079545454342	0.9
baseline_v1.13	succinate	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	succinate	rxn05759_c0	0.0	18.132079545453387	0.9
baseline_v1.13	succinate	rxn00018_c0	47.4444714424669	194.78576130465652	0.9
baseline_v1.13	succinate	rxn01111_c0	47.4444714424669	194.78576130464833	0.9
baseline_v1.13	butyrate	bio1	6.8208061477706705	7.578673497523064	0.9
baseline_v1.13	butyrate	EX_cpd11640_e0	0.0	19.341147727273974	0.9
baseline_v1.13	butyrate	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	butyrate	rxn05759_c0	0.0	19.34114772727644	0.9
baseline_v1.13	butyrate	rxn00018_c0	46.64611088832338	200.41642612224544	0.9
baseline_v1.13	butyrate	rxn01111_c0	46.64611088833319	200.41642612225573	0.9
baseline_v1.13	fumarate	bio1	6.23008032769075	6.92231147521189	0.9
baseline_v1.13	fumarate	EX_cpd11640_e0	0.0	17.666079545453048	0.9
baseline_v1.13	fumarate	rxn06874_c0	0.0	0.0	0.9
baseline_v1.13	fumarate	rxn05759_c0	0.0	17.666079545451158	0.9
baseline_v1.13	fumarate	rxn00018_c0	41.95106789732428	185.5184916177855	0.9
baseline_v1.13	fumarate	rxn01111_c0	41.95106789732427	185.51849161778682	0.9
candidate_n2_closed	baseline_unchanged	bio1	9.490958687671371	10.545509652968203	0.9
candidate_n2_closed	baseline_unchanged	EX_cpd11640_e0	0.0	63.85208928571529	0.9
candidate_n2_closed	baseline_unchanged	rxn06874_c0	0.0	0.0	0.9
candidate_n2_closed	baseline_unchanged	rxn05759_c0	0.0	63.85208928571466	0.9
candidate_n2_closed	baseline_unchanged	rxn00018_c0	0.0	92.40766518187718	0.9
candidate_n2_closed	baseline_unchanged	rxn01111_c0	0.0	92.40766518187726	0.9
candidate_n2_closed	acetate	bio1	6.311175586331051	7.012417318145654	0.9
candidate_n2_closed	acetate	EX_cpd11640_e0	0.0	17.896034090912295	0.9
candidate_n2_closed	acetate	rxn06874_c0	0.0	0.0	0.9
candidate_n2_closed	acetate	rxn05759_c0	0.0	17.896034090910103	0.9
candidate_n2_closed	acetate	rxn00018_c0	41.04277766466862	186.47247107018185	0.9
candidate_n2_closed	acetate	rxn01111_c0	41.04277766466952	186.47247107018188	0.9
candidate_n2_closed	succinate	bio1	6.394418851426781	7.104909834918671	0.9
candidate_n2_closed	succinate	EX_cpd11640_e0	0.0	18.132079545455053	0.9
candidate_n2_closed	succinate	rxn06874_c0	0.0	0.0	0.9
candidate_n2_closed	succinate	rxn05759_c0	0.0	18.13207954545505	0.9
candidate_n2_closed	succinate	rxn00018_c0	47.44447144246602	194.7857613046556	0.9
candidate_n2_closed	succinate	rxn01111_c0	47.44447144246602	194.7857613046746	0.9
candidate_n2_closed	butyrate	bio1	6.820806147770641	7.578673497523104	0.9
candidate_n2_closed	butyrate	EX_cpd11640_e0	0.0	19.34114772727688	0.9
candidate_n2_closed	butyrate	rxn06874_c0	0.0	0.0	0.9
candidate_n2_closed	butyrate	rxn05759_c0	0.0	19.341147727276876	0.9
candidate_n2_closed	butyrate	rxn00018_c0	46.646110888318795	200.41642612225152	0.9
candidate_n2_closed	butyrate	rxn01111_c0	46.6461108883216	200.41642612225203	0.9
candidate_n2_closed	fumarate	bio1	6.23008032769074	6.92231147521202	0.9
candidate_n2_closed	fumarate	EX_cpd11640_e0	0.0	17.66607954545673	0.9
candidate_n2_closed	fumarate	rxn06874_c0	0.0	0.0	0.9
candidate_n2_closed	fumarate	rxn05759_c0	0.0	17.666079545455112	0.9
candidate_n2_closed	fumarate	rxn00018_c0	41.951067897314	185.51849161779683	0.9
candidate_n2_closed	fumarate	rxn01111_c0	41.951067897314	185.5184916177915	0.9
